Molecule,Mode,nu_R1,nu_R1+B2,nu_MPNN,nu_CCSD(T),nu_exp
C3H4O,C-H stretch,3044.3,3044.3,3106.4,2927.3,2800.0
C3H4O,C-H stretch,3044.3,3044.3,3106.4,3147.6,2998.0
C3H4O,C-H stretch,3044.3,3044.3,3106.4,3196.8,3069.0
C3H4O,C-H stretch,3044.3,3044.3,3106.4,3247.4,3103.0
C3H4O,C=C stretch,1675.7,1625.4,1632.5,1667.7,1625.0
C3H4O,C=O stretch,1615.9,1807.8,1802.9,1767.6,1724.0
C3H4_1,C-C stretch,1045.9,1045.9,972.4,1496.1,1450.3
C3H4_1,C-H sym stretch,3044.3,3044.3,3269.3,644.9,638.6
C3H4_1,C-H sym stretch,3044.3,3044.3,3269.3,3130.4,2980.9
C3H4_1,C-H sym stretch,3044.3,3044.3,3269.3,3130.6,2980.9
C3H4_1,C-H sym stretch,3044.3,3044.3,3269.3,3465.6,3335.1
C3H6,C-C stretch,1045.9,1045.9,1011.0,927.0,912.7
C3H6,C-H asym stretch,3044.3,3044.3,3080.8,3096.5,2954.3
C3H6,C-H asym stretch,3044.3,3044.3,3080.8,3119.8,2972.3
C3H6,C-H asym stretch,3044.3,3044.3,3080.8,3141.6,2991.0
C3H6,C-H asym stretch,3044.3,3044.3,3080.8,3153.7,3015.0
C3H6,C-H asym stretch,3044.3,3044.3,3080.8,3235.6,3091.6
C3H6,C-H sym stretch,3044.3,3044.3,3080.8,3035.1,2931.5
C3H6,C=C stretch,1675.7,1625.4,1669.1,1700.2,1653.2
C3H8,C-C asym stretch,1045.9,1045.9,1030.1,1075.5,1053.8
C3H8,C-C sym stretch,1045.9,1045.9,1030.1,888.8,870.4
C3H8,C-H asym stretch,3044.3,3044.3,3011.3,3032.0,2887.0
C3H8,C-H asym stretch,3044.3,3044.3,3011.3,3037.4,2961.7
C3H8,C-H asym stretch,3044.3,3044.3,3011.3,3100.1,2968.2
C3H8,C-H asym stretch,3044.3,3044.3,3011.3,3110.9,2968.2
C3H8,C-H asym stretch,3044.3,3044.3,3011.3,3111.6,2972.6
C3H8,C-H asym stretch,3044.3,3044.3,3011.3,3114.2,2976.7
C3H8,C-H sym stretch,3044.3,3044.3,3011.3,3033.6,2887.0
C3H8,C-H sym stretch,3044.3,3044.3,3011.3,3066.7,2967.0
C4H2,C-C stretch,1045.9,1045.9,1001.0,891.6,872.0
C4H2,C-H asym stretch,3044.3,3044.3,3411.3,3462.2,3333.7
C4H2,C-H sym stretch,3044.3,3044.3,3411.3,3461.2,3332.2
C4H6,C-H asym stretch,3044.3,3044.3,3118.5,3161.0,3012.5
C4H6,C-H asym stretch,3044.3,3044.3,3118.5,3243.8,3099.0
C4H6,C-H asym stretch,3044.3,3044.3,3118.5,3244.1,3100.6
C4H6,C-H sym stretch,3044.3,3044.3,3118.5,3155.5,3011.4
C4H6,C=C asym stretch,1675.7,1625.4,1644.0,1639.8,1596.4
C4H6,C=C asym stretch,1675.7,1625.4,1644.0,3145.4,2984.0
C4H6,C=C asym stretch,1675.7,1625.4,1644.0,3147.7,3010.0
C4H6,C=C sym stretch,1675.7,1625.4,1644.0,1701.1,1644.3
C4N2,C#C stretch,2207.7,2239.0,2293.1,2168.2,2123.1
C4N2,C#N asym stretch,2161.8,2356.0,2378.2,2293.8,2245.4
C4N2,C#N sym stretch,2161.8,2356.0,2378.2,2360.7,2296.8
C4N2,C-C asym stretch,1045.9,1045.9,989.9,1152.9,1154.9
C4N2,C-C sym stretch,1045.9,1045.9,989.9,478.1,504.7
C6H8,C-C asym stretch,1045.9,1045.9,1046.0,1019.6,1013.0
C6H8,C-C sym stretch,1045.9,1045.9,1046.0,1016.6,988.0
C6H8,C-H asym stretch,3044.3,3044.3,3115.0,1688.4,1629.0
C6H8,C-H asym stretch,3044.3,3044.3,3115.0,3132.7,2953.0
C6H8,C-H asym stretch,3044.3,3044.3,3115.0,3141.1,2989.0
C6H8,C-H asym stretch,3044.3,3044.3,3115.0,3152.4,3045.0
C6H8,C-H asym stretch,3044.3,3044.3,3115.0,3154.8,3054.0
C6H8,C-H asym stretch,3044.3,3044.3,3115.0,3159.4,3054.0
C6H8,C-H sym stretch,3044.3,3044.3,3115.0,1679.0,1627.0
C6H8,C-H sym stretch,3044.3,3044.3,3115.0,3144.0,3019.0
C6H8,C=C asym stretch,1675.7,1625.4,1645.4,1471.5,1432.0
C6H8,C=C asym stretch,1675.7,1625.4,1645.4,1676.9,1579.0
CF4,C-F asym stretch,985.2,985.2,1035.7,1309.0,1283.2
CF4,C-F asym stretch,985.2,985.2,1035.7,1309.1,1283.2
CF4,C-F asym stretch,985.2,985.2,1035.7,1309.1,1283.2
CF4,C-F sym stretch,985.2,985.2,1035.7,924.1,909.1
CH,C-H stretch,3044.3,3044.3,2806.1,2852.4,2733.0
CH2N2,C-H asym stretch,3044.3,3044.3,3092.1,3345.6,3184.5
CH2N2,C-H sym stretch,3044.3,3044.3,3092.1,3209.7,3077.1
CH2O2,C-H stretch,3044.3,3044.3,3055.5,3094.6,2942.0
CH2O2,C-O stretch,1008.6,1008.6,1055.4,1141.2,1109.2
CH2O2,C=O stretch,1615.9,1807.8,1835.6,1819.4,1776.8
CH2O2,O-H stretch,3116.9,3116.9,3748.6,3769.6,3568.9
CH3F,C-F stretch,985.2,985.2,1038.7,1079.3,1048.6
CH3F,C-H asym stretch,3044.3,3044.3,2994.8,1515.1,1467.8
CH3F,C-H asym stretch,3044.3,3044.3,2994.8,1515.3,1467.8
CH3F,C-H sym stretch,3044.3,3044.3,2994.8,1499.8,1459.4
CH3N,C-H asym stretch,3044.3,3044.3,3027.4,1681.8,1638.3
CH3N,C-H sym stretch,3044.3,3044.3,3027.4,1486.0,1452.0
CH3N,C=N stretch,1640.9,1477.7,1482.1,1385.9,1344.3
CH3N,N-H stretch,3081.5,3081.5,3563.7,3056.8,2914.2
CH3NO,C-H stretch,3044.3,3044.3,3053.0,2994.0,2853.6
CH3NO,C-N stretch,1024.2,1024.2,936.0,1279.8,1258.2
CH3NO,C=O stretch,1615.9,1807.8,1819.4,1797.6,1754.1
CH3NO,N-H asym stretch,3081.5,3081.5,3575.3,3759.7,3563.7
CH3NO,N-H sym stretch,3081.5,3081.5,3575.3,3614.7,3439.5
CH4,C-H asym stretch,3044.3,3044.3,2926.4,3161.1,3018.5
CH4,C-H asym stretch,3044.3,3044.3,2926.4,3161.4,3018.5
CH4,C-H asym stretch,3044.3,3044.3,2926.4,3161.6,3018.5
CH4,C-H sym stretch,3044.3,3044.3,2926.4,3041.1,2932.4
CH4O,C-H asym stretch,3044.3,3044.3,2995.0,3079.7,2961.1
CH4O,C-H asym stretch,3044.3,3044.3,2995.0,3141.1,3003.7
CH4O,C-H sym stretch,3044.3,3044.3,2995.0,3021.2,2844.7
CH4O,C-O stretch,1008.6,1008.6,1089.9,1065.3,1033.7
CH4O,O-H stretch,3116.9,3116.9,3843.6,3874.7,3682.5
CH5N,C-H asym stretch,3044.3,3044.3,3069.1,3089.1,2961.0
CH5N,C-H asym stretch,3044.3,3044.3,3069.1,3126.2,2985.0
CH5N,C-H sym stretch,3044.3,3044.3,3069.1,3006.8,2820.0
CH5N,C-N stretch,1024.2,1024.2,938.8,1072.3,1130.0
CH5N,N-H asym stretch,3081.5,3081.5,3520.7,3599.2,3427.0
CH5N,N-H sym stretch,3081.5,3081.5,3520.7,3517.2,3361.0
CHF3,C-F asym stretch,985.2,985.2,1024.7,709.8,700.1
CHF3,C-F asym stretch,985.2,985.2,1024.7,1161.8,1141.5
CHF3,C-H stretch,3044.3,3044.3,3046.7,1417.3,1377.8
CO,C#O stretch,2128.9,2128.9,2337.7,2170.2,2169.8
COF2,C-F asym stretch,985.2,985.2,1008.0,1276.3,1243.3
COF2,C-F sym stretch,985.2,985.2,1008.0,983.1,963.3
F2,F-F stretch,902.8,902.8,1002.7,948.2,893.9
F2O,O-F asym stretch,933.8,933.8,903.9,882.3,828.7
F2O,O-F sym stretch,933.8,933.8,903.9,966.4,928.1
H2CO,C-H asym stretch,3044.3,3044.3,3021.5,3006.7,2843.3
H2CO,C-H sym stretch,3044.3,3044.3,3021.5,2935.5,2782.5
H2CO,C=O stretch,1615.9,1807.8,1784.3,1785.7,1746.0
H2O,O-H asym stretch,3116.9,3116.9,4019.4,3952.6,3755.8
H2O,O-H sym stretch,3116.9,3116.9,4019.4,3843.9,3656.7
HCN,C#N stretch,2161.8,2356.0,2347.4,2132.6,2096.8
HCN,C-H stretch,3044.3,3044.3,3339.7,3442.5,3311.5
HCO,C=O stretch,1615.9,1807.8,1798.4,1892.5,1868.2
HNCO,N-H stretch,3081.5,3081.5,3556.9,3693.0,3538.2
HNO,N-H stretch,3081.5,3081.5,3582.5,2962.4,2684.0
HNO,N=O stretch,1573.2,1399.6,1448.9,1614.5,1565.3
HNO3,N=O asym stretch,1573.2,1399.6,1421.4,1771.8,1709.6
HNO3,N=O sym stretch,1573.2,1399.6,1421.4,1366.6,1326.2
HNO3,O-H stretch,3116.9,3116.9,3794.9,3751.8,3550.7
HO2,O-H stretch,3116.9,3116.9,3775.8,3659.6,3436.2
HO2,O-O stretch,962.1,962.1,870.6,1141.7,1097.6
HOF,O-F stretch,933.8,933.8,897.1,938.9,889.1
HOF,O-H stretch,3116.9,3116.9,3798.2,3775.7,3577.9
N2F2,N-F asym stretch,955.9,955.9,887.7,1027.4,990.0
N2F2,N-F sym stretch,955.9,955.9,887.7,1056.2,1010.0
N2H4,N-H asym stretch,3081.5,3081.5,3688.6,3484.6,3314.0
N2H4,N-H asym stretch,3081.5,3081.5,3688.6,3589.1,3350.0
N2H4,N-H asym stretch,3081.5,3081.5,3688.6,3593.3,3398.0
N2H4,N-H sym stretch,3081.5,3081.5,3688.6,3493.3,3325.0
N2H4,N-N stretch,999.8,999.8,846.4,1127.4,1076.0
NF3,N-F asym stretch,955.9,955.9,849.2,942.4,907.5
NF3,N-F asym stretch,955.9,955.9,849.2,942.4,907.5
NH,N-H stretch,3081.5,3081.5,3755.5,3341.7,3125.6
NH3,N-H asym stretch,3081.5,3081.5,3698.3,3618.1,3443.7
NH3,N-H asym stretch,3081.5,3081.5,3698.3,3618.4,3443.7
NH3,N-H sym stretch,3081.5,3081.5,3698.3,3487.6,3323.7
NHF2,N-F asym stretch,955.9,955.9,846.7,928.3,888.0
NHF2,N-F sym stretch,955.9,955.9,846.7,1009.0,972.0
NHF2,N-H stretch,3081.5,3081.5,3519.9,3390.4,3193.0
NO2,N-O asym stretch,981.9,981.9,874.9,1679.8,1616.8
NO2,N-O sym stretch,981.9,981.9,874.9,1358.7,1319.8
O3,O-O asym stretch,962.1,962.1,935.6,1194.1,1042.1
O3,O-O sym stretch,962.1,962.1,935.6,1198.5,1103.1
c-C3H3NO,C-H asym stretch,3044.3,3044.3,3294.6,3278.7,3134.0
c-C3H3NO,C-H asym stretch,3044.3,3044.3,3294.6,3286.9,3138.0
c-C3H3NO,C-H sym stretch,3044.3,3044.3,3294.6,3311.2,3170.0
c-C3H3NO,C-N stretch,1024.2,1024.2,941.7,1117.6,1091.1
c-C3H3NO,C-O sym stretch,1008.6,1008.6,1072.9,1180.1,1142.5
c-C3H3NO,C=C stretch,1675.7,1625.4,1619.1,1581.8,1540.0
c-C3H3NO,C=N stretch,1640.9,1477.7,1480.4,1112.0,1081.3
c-C3H3NO,C=N stretch,1640.9,1477.7,1480.4,1543.8,1500.0
c-C3H3NO_1,C-C stretch,1045.9,1045.9,993.0,1043.1,1024.2
c-C3H3NO_1,C-H asym stretch,3044.3,3044.3,3324.8,3256.7,3092.0
c-C3H3NO_1,C-H asym stretch,3044.3,3044.3,3324.8,3274.6,3128.0
c-C3H3NO_1,C-H sym stretch,3044.3,3044.3,3324.8,3298.1,3160.0
c-C3H3NO_1,C-O stretch,1008.6,1008.6,1015.5,1161.8,1130.0
c-C3H3NO_1,C=C asym stretch,1675.7,1625.4,1589.6,1600.6,1561.1
c-C3H3NO_1,C=N stretch,1640.9,1477.7,1486.6,1249.3,1218.3
c-C3H6,C-C asym stretch,1045.9,1045.9,1021.4,892.2,868.4
c-C3H6,C-C sym stretch,1045.9,1045.9,1021.4,892.2,868.4
c-C3H6,C-H asym stretch,3044.3,3044.3,3185.2,3149.5,3019.2
c-C3H6,C-H asym stretch,3044.3,3044.3,3185.2,3149.6,3019.2
c-C3H6,C-H asym stretch,3044.3,3044.3,3185.2,3233.6,3082.0
c-C3H6,C-H asym stretch,3044.3,3044.3,3185.2,3233.6,3082.0
c-C3H6,C-H asym stretch,3044.3,3044.3,3185.2,3252.9,3101.8
c-C3H6,C-H sym stretch,3044.3,3044.3,3185.2,3159.0,3026.7
c-C4H4N2,C-H stretch,3044.3,3044.3,3200.6,3177.3,3012.0
c-C4H4N2,C-H stretch,3044.3,3044.3,3200.6,3178.2,3040.0
c-C4H4N2,C-H stretch,3044.3,3044.3,3200.6,3192.8,3055.0
c-C4H4N2,C-H stretch,3044.3,3044.3,3200.6,3197.3,3069.1
c-C4H4N2,C-N stretch,1024.2,1024.2,935.6,1186.5,1149.0
c-C4H4O,C-H asym stretch,3044.3,3044.3,3289.5,3259.5,3130.2
c-C4H4O,C-H asym stretch,3044.3,3044.3,3289.5,3270.1,3139.8
c-C4H4O,C-H asym stretch,3044.3,3044.3,3289.5,3290.3,3160.8
c-C4H4O,C-H sym stretch,3044.3,3044.3,3289.5,3296.7,3169.4
c-C4H4O,C-O asym stretch,1008.6,1008.6,1045.8,1220.3,1180.8
c-C4H4O,C-O sym stretch,1008.6,1008.6,1045.8,1089.8,1067.2
c-C4H4O,C=C asym stretch,1675.7,1625.4,1575.4,1596.7,1557.5
c-C4H5N,C-C stretch,1045.9,1045.9,999.2,1314.7,1288.5
c-C4H5N,C-H asym stretch,3044.3,3044.3,3230.3,3259.6,3127.9
c-C4H5N,C-H asym stretch,3044.3,3044.3,3230.3,3274.3,3143.2
c-C4H5N,C-H asym stretch,3044.3,3044.3,3230.3,3280.1,3148.9
c-C4H5N,C-H sym stretch,3044.3,3044.3,3230.3,636.3,620.7
c-C4H5N,N-H stretch,3081.5,3081.5,3622.3,3701.1,3530.8
c-C4H8O2,C-C asym stretch,1045.9,1045.9,1065.4,907.5,889.0
c-C4H8O2,C-C sym stretch,1045.9,1045.9,1065.4,1044.1,1015.0
c-C4H8O2,C-H asym stretch,3044.3,3044.3,3081.6,2997.6,2856.0
c-C4H8O2,C-H asym stretch,3044.3,3044.3,3081.6,3007.1,2863.0
c-C4H8O2,C-H asym stretch,3044.3,3044.3,3081.6,3010.2,2863.0
c-C4H8O2,C-H asym stretch,3044.3,3044.3,3081.6,3109.7,2968.0
c-C4H8O2,C-H asym stretch,3044.3,3044.3,3081.6,3110.3,2968.0
c-C4H8O2,C-H asym stretch,3044.3,3044.3,3081.6,3110.8,2970.0
c-C4H8O2,C-H asym stretch,3044.3,3044.3,3081.6,3110.9,2970.0
c-C4H8O2,C-H sym stretch,3044.3,3044.3,3081.6,3001.4,2856.0
c-C4H8O2,C-O asym stretch,1008.6,1008.6,1107.8,1158.7,1110.0
c-C4H8O2,C-O asym stretch,1008.6,1008.6,1107.8,1177.4,1136.0
c-C5H5N,C-H asym stretch,3044.3,3044.3,3213.6,3172.8,3030.1
c-C5H5N,C-H asym stretch,3044.3,3044.3,3213.6,3174.1,3042.4
c-C5H5N,C-H asym stretch,3044.3,3044.3,3213.6,3190.4,3072.8
c-C5H5N,C-H asym stretch,3044.3,3044.3,3213.6,3206.0,3086.9
c-C5H5N,C-H sym stretch,3044.3,3044.3,3213.6,3213.2,3094.2
c-C5H5N,C=C asym stretch,1675.7,1625.4,1645.9,1625.2,1580.5
c-C5H5N,C=C sym stretch,1675.7,1625.4,1645.9,1635.1,1583.9
c-C5H5N,C=N stretch,1640.9,1477.7,1475.4,1268.6,1227.0
c-CH2N4,C-H stretch,3044.3,3044.3,3304.6,3301.6,3102.0
c-CH2N4,C-N stretch,1024.2,1024.2,943.7,1319.9,1259.0
c-CH2N4,C=N stretch,1640.9,1477.7,1483.6,1406.7,1384.0
c-CH2N4,C=N stretch,1640.9,1477.7,1483.6,1531.1,1441.0
c-CH2N4,N-H stretch,3081.5,3081.5,3685.3,3666.4,3447.0
c-CH2N4,N-N stretch,999.8,999.8,891.2,1161.1,1015.0
c-CH2N4,N-N stretch,999.8,999.8,891.2,1182.2,1084.0
c-CH2N4,N=N stretch,1601.8,1416.3,1422.3,1235.7,1159.0
sin-CH2,C-H asym stretch,3044.3,3044.3,2880.3,2998.7,2864.5
sin-CH2,C-H sym stretch,3044.3,3044.3,2880.3,2926.1,2806.1
tri-CH2,C-H asym stretch,3044.3,3044.3,2880.3,3373.7,3373.7
tri-CH2,C-H sym stretch,3044.3,3044.3,2880.3,3145.0,2992.0
